index,ref,polymer,contact_angle,poly_weight_kg/mol,supporter,mark,thickness_um,mmms,mmms_size_nm,poresize_nm,loading_wt%,mixture,composition_water_wt,temperature,feedpressure_bar,permeatepressure_mbar,total_flux_kgm2h,separationfactor_w_e,psi,truth,newpsi,Solubility_Parameter_solvent,Solubility_Parameter_polymer
8,8IPA_peba_81 JMS-2000-Sampranpiboon-Pervaporation separation of ethyl butyrate and isopropanol with polyether block amide (PEBA) membranes,peba,89,,,,100,,,,,water/ipa,90,30,,6.7,0.2848,0.283636366,0.719302557,,0.155853407,23.5,20.3
8,8IPA_peba_81 JMS-2000-Sampranpiboon-Pervaporation separation of ethyl butyrate and isopropanol with polyether block amide (PEBA) membranes,peba,89,,,,100,,,,,water/ipa,90,40,,6.7,0.6345,0.220987638,2.23670133,,0.415998517,23.5,20.3
8,8IPA_peba_81 JMS-2000-Sampranpiboon-Pervaporation separation of ethyl butyrate and isopropanol with polyether block amide (PEBA) membranes,peba,89,,,,100,,,,,water/ipa,90,50,,6.7,1.1139,0.218292663,3.988882583,,0.736244303,23.5,20.3
8,8IPA_peba_81 JMS-2000-Sampranpiboon-Pervaporation separation of ethyl butyrate and isopropanol with polyether block amide (PEBA) membranes,peba,89,,,,100,,,,,water/ipa,90,60,,6.7,1.7387,0.192473108,7.29476975,,1.244265777,23.5,20.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/butanol,15,25,,1,0.0201,1569.666667,31.53020001,,0.064235729,23.1,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/ipa,15,25,,1,0.0245,1569.666667,38.43233334,,0.078297282,23.5,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/ethanol,5,25,,1,0.0324,77.917431,2.492124764,,0.061288962,26.5,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/butanol,15,25,,1,0.0331,1044.555556,34.5416889,,0.099926634,23.1,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/butanol,15,25,,1,0.0345,1569.666667,54.11900001,,0.110255357,23.1,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/ipa,15,25,,1,0.0374,1044.555556,39.02897779,,0.11290804,23.5,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/ethanol,10,25,,1,0.046,56.842105,2.56873683,,0.080714827,26.5,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/ipa,15,25,,1,0.0576,1569.666667,90.35520002,,0.184078508,23.5,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/butanol,10,80,,1,0.0577,459,26.4266,,0.153586592,23.1,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/butanol,10,60,,1,0.0596,891,53.044,,0.175812711,23.1,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/ethanol,15,25,,1,0.0836,80.59259259,6.653940741,,0.159366273,26.5,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/ipa,10,60,,1,0.0846,927,78.3396,,0.251014946,23.5,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,82,,,450c-0.5h,24.24,,,,,water/ipa,10,80,,1,0.1346,199,26.6508,,0.309425624,23.5,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,84,,,450c-1h,24.11,,,,,water/ethanol,15,25,,1,0.0801,68.26984127,5.388314286,,0.146921734,26.5,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,90,,,425c-0.5h,23.35,,,,,water/ethanol,15,25,,1,0.0622,80.59259259,4.950659259,,0.118571557,26.5,24.3
10,10IPA_polymid_2012-ong-A prospective study on the application of thermally rearranged acetate-containing polyimide membranes in dehydration of biofuels via pervaporation,polyimide2,91,,,400c-0.5h,18.23,,,,,water/ethanol,15,25,,1,0.0486,216.1428571,10.45594286,,0.113468407,26.5,24.3
12,12-1Fabrication and characterization of BTDA-TDI MDI (P84) co-polyimide  dehydration of isopropanol,p84,82.3,,,,39,,,,,water/ipa,15,60,,5,0.0136,1347.701149,18.31513563,,0.042562473,23.5,26.8
12,12-1Fabrication and characterization of BTDA-TDI MDI (P84) co-polyimide  dehydration of isopropanol,p84,82.3,,,,39,,,,,water/ipa,15,80,,5,0.0256,945.402299,24.17669885,,0.076175786,23.5,26.8
12,12-1Fabrication and characterization of BTDA-TDI MDI (P84) co-polyimide  dehydration of isopropanol,p84,82.3,,,,39,,,,,water/ipa,15,100,,5,0.0545,1025.862069,55.85498276,,0.164104349,23.5,26.8
12,12-1Fabrication and characterization of BTDA-TDI MDI (P84) co-polyimide  dehydration of isopropanol,p84,82.3,,,,28,,,,,water/ipa,15,60,,5,0.0273,1106.321839,30.1752862,,0.083097965,23.5,26.8
12,12-1Fabrication and characterization of BTDA-TDI MDI (P84) co-polyimide  dehydration of isopropanol,p84,82.3,,,,28,,,,,water/ipa,15,80,,5,0.0392,1025.862069,40.1745931,,0.118034688,23.5,26.8
12,12-1Fabrication and characterization of BTDA-TDI MDI (P84) co-polyimide  dehydration of isopropanol,p84,82.3,,,,28,,,,,water/ipa,15,100,,5,0.0699,864.942529,60.38958278,,0.205295409,23.5,26.8
12,12-1Fabrication and characterization of BTDA-TDI MDI (P84) co-polyimide  dehydration of isopropanol,p84,82.3,,,,10,,,,,water/ipa,15,60,,5,0.0631,2916.666667,183.9785667,,0.218634357,23.5,26.8
12,12-1Fabrication and characterization of BTDA-TDI MDI (P84) co-polyimide  dehydration of isopropanol,p84,82.3,,,,10,,,,,water/ipa,15,80,,5,0.1159,1790.229885,207.3717437,,0.37701213,23.5,26.8
12,12-1Fabrication and characterization of BTDA-TDI MDI (P84) co-polyimide  dehydration of isopropanol,p84,82.3,,,,10,,,,,water/ipa,15,100,,5,0.2182,1488.505747,324.573754,,0.692294163,23.5,26.8
15,15IPA_polymid_JMS-2014-Hua-ZIF-90 P84 mixed matrix membranes for pervaporation dehydration of isopropanol,p84,82.3,,,,20.5,,,,,water/ipa,15,60,,1,0.0496,5265.366081,261.1125576,,0.184582857,23.5,26.8
15,15IPA_polymid_JMS-2014-Hua-ZIF-90 P84 mixed matrix membranes for pervaporation dehydration of isopropanol,p84,82.3,,,,20.5,,,,,water/ipa,15,70,,1,0.0695,5265.366081,365.8734426,,0.258639286,23.5,26.8
15,15IPA_polymid_JMS-2014-Hua-ZIF-90 P84 mixed matrix membranes for pervaporation dehydration of isopropanol,p84,82.3,,,,20.5,,,,,water/ipa,15,80,,1,0.1072,5265.366081,564.3400439,,0.398937143,23.5,26.8
15,15IPA_polymid_JMS-2014-Hua-ZIF-90 P84 mixed matrix membranes for pervaporation dehydration of isopropanol,p84,82.3,,,,20.5,,,,,water/ipa,15,90,,1,0.1728,5265.366081,909.6824588,,0.643062857,23.5,26.8
22,22IPA_pva_JMS-2004-Upad-Pervaporation studies of gaseous plasma treated PVA membrane,pva,74,,,,22,,,,,water/ipa,10,25,,1.3,0.0293,4.930693,0.115169305,,0.020302203,23.5,25.8
22,22IPA_pva_JMS-2004-Upad-Pervaporation studies of gaseous plasma treated PVA membrane,pva,74,,,,22,,,,,water/ipa,5,25,,1.3,0.0299,5.108911,0.122856439,,0.021179017,23.5,25.8
22,22IPA_pva_JMS-2004-Upad-Pervaporation studies of gaseous plasma treated PVA membrane,pva,74,,,,22,,,,,water/ipa,15,25,,1.3,0.0304,5.643564,0.141164346,,0.022847225,23.5,25.8
22,22IPA_pva_JMS-2004-Upad-Pervaporation studies of gaseous plasma treated PVA membrane,pva,74,,,,22,,,,,water/ipa,20,25,,1.3,0.0561,8.19802,0.403808922,,0.051259073,23.5,25.8
22,22IPA_pva_JMS-2004-Upad-Pervaporation studies of gaseous plasma treated PVA membrane,pva,74,,,,22,,,,,water/ipa,25,25,,1.3,0.0967,11.049505,0.971787134,,0.100891251,23.5,25.8
22,22IPA_pva_JMS-2004-Upad-Pervaporation studies of gaseous plasma treated PVA membrane,pva,74,,,,22,,,,,water/ipa,25,75,,1.3,0.495,12.33663366,5.611633662,,0.540142351,23.5,25.8
22,22IPA_pva_JMS-2004-Upad-Pervaporation studies of gaseous plasma treated PVA membrane,pva,74,,,,22,,,,,water/ipa,20,75,,1.3,0.9406,2.98019802,1.862574258,,0.446074962,23.5,25.8
22,22IPA_pva_JMS-2004-Upad-Pervaporation studies of gaseous plasma treated PVA membrane,pva,74,,,,22,,,,,water/ipa,15,75,,1.3,2.1782,2.00990099,2.199766336,,0.660375053,23.5,25.8
22,22IPA_pva_JMS-2004-Upad-Pervaporation studies of gaseous plasma treated PVA membrane,pva,74,,,,22,,,,,water/ipa,10,75,,1.3,3.4653,1.663366337,2.298763368,,0.765789398,23.5,25.8
22,22IPA_pva_JMS-2004-Upad-Pervaporation studies of gaseous plasma treated PVA membrane,pva,74,,,,22,,,,,water/ipa,5,75,,1.3,7.8713,3.673267327,21.04208911,,4.447698026,23.5,25.8
23,"23IPA_pva_JMS-2006-Sairam-Poly(vinyl alcohol)-iron oxide nanocomposite membranes for pervaporation dehydration of isopropanol, 1,4-dioxane and tetrahydrofuran",pva,74,,,,10,,,,,water/ipa,10,30,,0.06,0.123,77,9.348,,0.232038359,23.5,25.8
23,"23IPA_pva_JMS-2006-Sairam-Poly(vinyl alcohol)-iron oxide nanocomposite membranes for pervaporation dehydration of isopropanol, 1,4-dioxane and tetrahydrofuran",pva,74,,,,10,,,,,water/ipa,12.5,30,,0.06,0.138,59,8.004,,0.244377578,23.5,25.8
23,"23IPA_pva_JMS-2006-Sairam-Poly(vinyl alcohol)-iron oxide nanocomposite membranes for pervaporation dehydration of isopropanol, 1,4-dioxane and tetrahydrofuran",pva,74,,,,10,,,,,water/ipa,15,30,,0.06,0.145,46,6.525,,0.241099886,23.5,25.8
23,"23IPA_pva_JMS-2006-Sairam-Poly(vinyl alcohol)-iron oxide nanocomposite membranes for pervaporation dehydration of isopropanol, 1,4-dioxane and tetrahydrofuran",pva,74,,,,10,,,,,water/ipa,20,30,,0.06,0.163,30,4.727,,0.240770765,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,10,40,,3,0.0311,142.9,4.41309,,0.067021502,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,8,50,,3,0.0328,115.15,3.74412,,0.067609457,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,10,40,,3,0.0355,77.91,2.730305,,0.067151559,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,8,50,,3,0.0357,148.27,5.257539,,0.077506602,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,15,40,,3,0.0376,103.76,3.863776,,0.075802727,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,10,40,,3,0.0419,137.44,5.716836,,0.089586941,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,10,40,,3,0.044,57.29,2.47676,,0.077355468,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,12.5,50,,3,0.0484,95.29,4.563636,,0.095785891,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,12.5,50,,3,0.0487,98.1,4.72877,,0.096994281,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,12.5,33,,3,0.0489,78.27,3.778503,,0.092596812,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,12.5,50,,3,0.052,80.66,4.14232,,0.099146227,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,10,60,,3,0.0522,90.23,4.657806,,0.10206932,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,12.5,50,,3,0.0528,105.46,5.515488,,0.106819034,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,12.5,50,,3,0.0535,92.23,4.880805,,0.105120663,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,12.5,33,,3,0.0538,120.46,6.426948,,0.111949346,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,12.5,50,,3,0.0546,100.58,5.437068,,0.109337135,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,12.5,50,,3,0.0548,98.09,5.320532,,0.109141035,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,12.5,50,,3,0.055,96.37,5.24535,,0.109116802,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,12.5,50,,3,0.0559,82.22,4.540198,,0.107047241,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,12.5,50,,3,0.0571,87.19,4.921449,,0.110800647,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,12.5,50,,3,0.0571,75.07,4.229397,,0.107089132,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,12.5,50,,3,0.058,90.14,5.17012,,0.113385218,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,12.5,50,,3,0.0587,95.27,5.533649,,0.116164727,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,15,40,,3,0.0602,111.77,6.668354,,0.12330918,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,15,40,,3,0.0619,98.82,6.055058,,0.123480896,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,12.5,50,,3,0.0621,84.37,5.177277,,0.119616278,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,12.5,50,,3,0.0658,79.37,5.156746,,0.12499739,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,10,60,,3,0.0678,105.93,7.114254,,0.137296286,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,10,60,,3,0.0683,92.11,6.222813,,0.134162153,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,12.5,50,,3,0.0688,71.06,4.820128,,0.127391814,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,15,40,,3,0.0711,105.89,7.457679,,0.143967187,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,17,50,,3,0.0764,103.3,7.81572,,0.153877265,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,17,50,,3,0.0846,88.26,7.382196,,0.164611628,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,15,60,,3,0.0853,69.11,5.809783,,0.156912838,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,15,60,,3,0.0916,88.81,8.043396,,0.178479107,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,10,60,,3,0.0977,87.81,8.481337,,0.189884247,23.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,12.5,67,,3,0.1012,48.59,4.816108,,0.170678546,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,15,60,,3,0.1084,41.1,4.34684,,0.174940453,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ethanol,15,60,,3,0.11,52.64,5.6804,,0.189344747,26.5,25.8
24,24IPA_pva_JMS-2009-Hyder-Pervaporation dehydration of alcohol??ater mixtures Optimization for permeate flux and selectivity by central composite rotatable design,pva,74,,,,22,,,,,water/ipa,12.5,67,,3,0.1139,60.83,6.814637,,0.203211019,23.5,25.8
26,26IPA_pva_JMS-2011-Shirazi-Synthesis and characterization of carbon nanotubes poly vinyl alcohol nanocomposite membranes for dehydration of isopropanol,pva,74,,,,25,,,,,water/ipa,10,30,,2,0.1505,125,18.662,,0.315584957,23.5,25.8
27,27IPA_pva_JMS-2014-Amirilar-Poly(vinyl alcohol) zeolitic imidazolate frameworks (ZIF-8) mixed matrix membranes for pervaporation dehydration of isopropanol,pva,74,,,,50,,,,,water/ipa,10,30,,6.7,0.1324,163.418803,21.50424952,,0.293041188,23.5,25.8
28,28IPA_pva_Sodium montmorillonite clay loaded novel mixed matrix membranes of poly(vinyl alcohol) for pervapone,pva,74,,,,50,,,,,water/ipa,10,40,,0.06,0.1556,55,8.4024,,0.270800434,23.5,25.8
28,28IPA_pva_Sodium montmorillonite clay loaded novel mixed matrix membranes of poly(vinyl alcohol) for pervapone,pva,74,,,,50,,,,,water/ipa,10,50,,0.06,0.1886,36,6.601,,0.293518652,23.5,25.8
28,28IPA_pva_Sodium montmorillonite clay loaded novel mixed matrix membranes of poly(vinyl alcohol) for pervapone,pva,74,,,,50,,,,,water/ipa,10,60,,0.06,0.2,23,4.4,,0.272345567,23.5,25.8
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,cs,55.1,,,,45,,,,,water/ipa,5,60,,3,0.127,3124.966463,396.7437408,,0.443845361,23.5,42.3
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,cs,55.1,,,,45,,,,,water/ethanol,5,60,,3,0.1438,444.991431,63.84596778,,0.380832967,26.5,42.3
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,sa,37.37,,,,45,,,,,water/ethanol,5,60,,3,0.2195,5587.953034,1226.336191,,0.822521978,26.5,37
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,sa,37.37,,,,45,,,,,water/ipa,5,60,,3,0.2328,3603.305055,838.6166168,,0.828,23.5,37
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,cs,55.1,,,,45,,,,,water/ethanol,10,60,,3,0.2876,178.956407,51.18026265,,0.64789011,26.5,42.3
30,30IPA_sa_JMS-1999-Moon-Novel two-ply composite membranes of chitosan and sodium alginate for the pervaporation dehydration of isopropanol and ethanol,cs,55.1,,,,45,,,,,water/ipa,10,60,,3,0.2963,1533.087739,453.9575971,,0.943883505,23.5,42.3
